2     23
2     23
4     37
0     37
1      2
6     62
27    375
2     27
49    433
49    441
1      2
4     29
2     37
39    242
1      2
2     16
1      2
3     67
0     67
2     34
1      2
47    214
1      2
26    131
21    252
1      2
5     91
49    247
19    166
49    394
49    398
14    145
45    352
46    356
6     49
6     68
34    237
3     18
39    323
14    118
48    363
6     42
48    339
10    133
3     81
2      7
19    188
2     10
1      2
4     43
49    451
12    134
3     32
5     47
7     72
1      2
4     32
1      2
2     15
1      2
5     42
3     24
3     24
6     76
1      2
28    269
14    127
49    277
5     52
0     52
49    519
1      2
0      2
4     30
48    460
8     82
2     58
7     84
0     84
2     11
7     93
2     39
0     39
1      2
0      2
11     91
9     80
12    139
5     34
19    210
3     48
47    348
2     13
4     38
4     15
0     15
1      2
3     32
0     32
48    501
1      2
2     79
2     16
0     16
36    256
3     31
49    335
49    354
2     30
1      2
7     89
2     17
7     88
1      2
6     84
30    300
1      2
3     31
1      2
49    448
5     39
1      2
2     10
26    224
11    121
10    157
48    426
3     29
2     16
2     19
2     13
2     12
1      2
1      2
5     66
8     81
2     10
24    211
1      2
34    181
0    181
2     15
4     63
49    466
1      2
1      2
42    297
0    297
36    201
45    304
12     99
2     14
1      2
4     33
2     24
2     11
12    120
9     64
1      2
2     14
1      2
3     64
0     64
48    377
1      2
49    316
1      2
35    152
20    163
2     25
11    113
4     38
3     31
2     15
0     15
4     48
49    407
49    382
3     17
9     66
32    248
39    263
2     25
4     40
3     31
7    101
46    360
5     46
3     18
17    147
33    250
6     87
4     49
1      2
6     54
1      2
1      2
9     80
12     84
16    205
1      2
7    165
2     20
3     23
49    315
49    339
17    130
11    175
49    417
4     29
4     59
17    251
9     97
21    157
49    401
12    113
3     19
1      2
0      2
3     21
6     77
0     77
3     35
1      2
3     84
13    191
12    153
26    175
36    367
1      2
2     15
14    162
1      2
1      2
1      2
14    109
1      2
5     46
5     42
6     60
3     17
1      2
2     42
7     64
19    133
12    112
1      2
8     74
4     42
13    236
2     34
3     27
1      2
49    377
49    345
6     34
1      2
26    246
2     39
6     39
1      2
1      2
6     52
1      2
5     26
40    276
3     25
5     39
2     10
10    134
25    194
1      2
1      2
11    101
4     44
3     31
26    228
2     23
49    279
5     68
7     75
13    113
13    135
6     44
4     94
2     14
2     13
2     33
30    183
18    189
48    379
49    322
13     94
1      2
4     44
26    156
6     67
1      2
49    389
1      2
3     61
5     48
49    346
3     16
49    311
5     62
26    291
1      2
1      2
3     55
16    227
1      2
4     23
3     50
49    411
1      2
2     11
2     14
0     14
6     75
29    154
3     23
3     26
49    367
7     79
2     15
49    415
3     18
8     73
3    105
49    365
0    365
7    133
7    113
9     93
7     89
2     36
30    225
1      2
11    141
21    193
11     85
11    147
7    101
2     16
6     75
1      2
1      2
49    339
1      2
13    135
1      2
0      2
7     41
6     96
49    441
4     49
3     17
3     21
5     42
1      2
49    358
49    317
5     40
4     64
0     64
7    180
10     99
4     23
5     56
9    122
6     95
1      2
2     30
9     98
2     10
22    182
1      2
38    312
11    116
1      2
3     27
5    117
49    301
13    112
