0 35387586.144561
1 13431938.355002
2 7530439.747633
3 12290127.866488
4 4990993.599738
5 5932359.666110
6 2522340.547625
7 2110094.525493
8 1708044.505678
9 1788384.260376
10 1762557.576648
11 1461394.558970
12 930734.187884
13 618078.405864
14 486574.746024
15 442521.753850
16 587857.873703
17 604617.209155
18 233865.264362
19 297947.250027
20 331922.320882
21 241952.798654
22 123396.679677
23 216479.288678
24 127221.396492
25 81428.908517
26 136609.587457
27 116466.789006
28 117752.685418
29 64449.883874
30 112399.489281
31 61496.527682
32 55407.481445
33 52520.626866
34 47688.846908
35 37592.503531
36 27226.840759
37 33819.596807
38 19595.193648
39 18943.521610
40 10144.856880
41 11539.730231
42 10896.311403
43 16472.500619
44 5032.806313
45 7328.768934
46 6934.393499
47 5330.183881
48 3911.521341
